team,win_total,provider,source_url,observed_at,notes
PIT,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
