player,position,team,from_team,contract_aav,contract_total,contract_years,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Aaron Stinnie,G,NYG,TB,1292500,1292500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Allen Robinson,WR,NYG,PIT,1410000,1410000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Austin Schlottmann,G,NYG,MIN,1397500,2795000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Brian Burns,LB,NYG,CAR,,,,,,,5,,,,,BurnBr00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Chris Manhertz,TE,NYG,DEN,1377500,1377500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Devin Singletary,RB,NYG,HOU,5500000,16500000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Drew Lock,QB,NYG,SEA,5000000,5000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Elijah Riley,CB,NYG,PIT,1125000,1125000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Greg Van Roten,G,NYG,LV,2000000,2000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Isaiah McKenzie,WR,NYG,IND,1377500,1377500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jakob Johnson,FB,NYG,LV,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jalen Mills,CB/S,NYG,NE,1377500,1377500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jermaine Eluemunor,RT/T,NYG,LV,7000000,14000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jon Runyan,G,NYG,GB,10000000,30000000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jordan Phillips,ED,NYG,BUF,1790000,1790000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Josh Kelley,RB,NYG,LAC,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Matt Haack,P,NYG,BUF,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Matt Nelson,T,NYG,DET,1292500,1292500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Miles Boykin,WR,NYG,PIT,1292500,1292500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Raheem Layne,S,NYG,LAC,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Tre Herndon,CB,NYG,JAX,1125000,1125000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Davante Adams,WR,NYJ,LV,28000000,140000000,5,,,,10,,,,,AdamDa01,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Deon Jackson,RB,NYJ,NYG,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Dylan McMahon,,NYJ,GB,,,,,,,,,,,,McMaDy00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Giovanni Manu,,NYJ,GB,,,,,,,,,,,,ManuGi00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Haason Reddick,LB,NYJ,PHI,15000000,45000000,3,,,,7,,,,,ReddHa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Isaiah Davis,RB,NYJ,SF,,,,,,,0,,,,,DaviIs00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Isaiah Oliver,CB,NYJ,SF,2500000,2500000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Javon Kinlaw,DL,NYJ,SF,7250000,7250000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
John Simpson,G,NYJ,BAL,6000000,12000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jordan Travis,QB,NYJ,PHI,,,,,,,0,,,,,TravJo00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Leki Fotu,DL,NYJ,ARI,2500000,2500000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Malachi Corley,WR,NYJ,CAR,,,,,,,0,,,,,CorlMa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Mike Williams,WR,NYJ,LAC,10000000,10000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Morgan Moses,,NYJ,BAL,5000000,15000000,3,,,,,,,,,MoseMo00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Qwan'tez Stiggers,DB,NYJ,SF,,,,,,,0,,,,,StigQw00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Tarik Cohen,RB,NYJ,CAR,1125000,1125000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Tyrod Taylor,QB,NYJ,NYG,6000000,12000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Tyron Smith,LT/T,NYJ,DAL,6500000,6500000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Ainias Smith,WR,PHI,WAS,,,,,,,0,,,,,SmitAi00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Bryce Huff,ED,PHI,NYJ,17033333,51100000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
